id,name,overview,number_of_seasons,number_of_episodes,first_air_date,last_air_date,vote_count,vote_average,popularity,backdrop_path,watchlisted_rating
123,Narcos,,3,30,2015-08-28,2017-09-01,2493,8.006,76.746,/go5LNIFH9IdoSwv8j9cNyTk2uPU.jpg,1.0816878814835686
124,Titans,,4,49,2018-10-12,2023-05-11,2487,7.975,92.504,/remQq0nfQoxY9fVglGGegHZjFxx.jpg,1.074906222357191
125,Adventure Time,,10,279,2010-04-05,2018-09-03,2474,8.477,316.301,/pe4B3OYBb7qYCdkAz7nKWordbls.jpg,1.1365956206674608
126,The Handmaid's Tale,,5,56,2017-04-26,2022-11-09,2457,8.2,684.333,/sokTOq0zAmPS7wCR4qd4Kca35x7.jpg,1.0919006104127302
127,Pretty Little Liars,,7,161,2010-06-08,2017-06-27,2425,8.028,509.785,/ypLoTftyF5EpGBxJas4PThIdiU4.jpg,1.055074694176618
128,House of Cards,,6,73,2013-02-01,2018-11-02,2403,8.045,67.655,/ex4kvQb0Ski5KL2fsnKQU2hV3oo.jpg,1.0477168273365949
129,Outlander,,8,83,2014-08-09,2023-08-11,2403,8.217,141.529,/nf3Vlxm3C9U1aKUUQHmKFZmxPSc.jpg,1.07011673961775
130,Moon Knight,,1,6,2022-03-30,2022-05-04,2392,7.816,49.843,/iux1vKPT7Vw1AzetZb4Jz6wfYsm.jpg,1.0132341666417637
131,Modern Family,,11,250,2009-09-23,2020-04-08,2346,7.841,168.723,/x4lxFIhhrDI4nWtV8osnYwbGESV.jpg,0.9969274666673432
132,Peacemaker,,1,NaN,2022-01-13,2022-02-17,2334,8.326,49.988,/ctxm191q5o3axFzQsvNPlbKoSYv.jpg,1.053176980735965
133,Locked Up,,4,40,2015-04-20,2019-02-04,2318,8.017,104.169,/iukGFUQQWUdgwTGGDLb1Pw3GoZP.jpg,1.0071390032931096
134,Blindspot,,5,100,2015-09-21,2020-07-23,2293,7.378,67.007,/u7G2G7jrBfHfIyj8ifzkq8I4tq3.jpg,0.9168679789656436
135,Boruto: Naruto Next Generations,,1,293,2017-04-05,2023-03-26,2293,7.89,149.166,/3XlKckxPEa4lg5w4vHnyE35PUyI.jpg,0.9804944909242246
136,The Sopranos,,6,86,1999-01-10,2007-06-10,2292,8.6,NaN,/lNpkvX2s8LGB0mjGODMT4o6Up7j.jpg,1.0682604858178926
137,Seven Deadly Sins,,1,7,2008-12-29,2009-01-04,2282,7.7,7.537,/6GdneIKJFjv5ArM5b6kKJQ4o8z4.jpg,0.9522927219296908
138,Fargo,,5,51,2014-04-15,2020-11-29,2278,8.313,133.703,/FtK35pwgGHTFu8hySVlFmfF8td.jpg,1.0263030041590686
139,Shameless,,11,134,2011-01-09,2021-04-11,2268,8.2,271.993,/bFVx0ydejF6NE8SEAVz95ns0o6A.jpg,1.007908255765597
140,Control Z,,3,24,2020-05-22,2022-07-06,2242,8.227,20.708,/gFFedWBZ7s5sPiR9A1IpileWuFf.jpg,0.9996344289398396
141,Dahmer – Monster: The Jeffrey Dahmer Story,,1,10,2022-09-21,2022-09-21,2228,8.061,59.532,/5vUux2vNUTqwCzb7tVcH18XnsF.jpg,0.9733481495456722
142,The Book of Boba Fett,,1,7,2021-12-29,2022-02-09,2223,7.71,47.62,/oMWnpUUCeIqvTdP3IYZ0JnPdrmU.jpg,0.9288764251995404
143,Orange Is the New Black,,7,91,2013-07-11,2019-07-26,2222,7.688,103.656,/z8Mg3YVZGd1iSnoDinEAoh9WTck.jpg,0.9258092789104064
144,The Lord of the Rings: The Rings of Power,,1,8,2022-09-01,2022-10-13,2210,7.408,127.962,/1rO4xoCo4Z5WubK0OwdVll3DPYo.jpg,0.8872731660403768
145,Marvel's The Punisher,,2,26,2017-11-17,2019-01-18,2207,8.119,48.888,/j5aOOtsJinQtyRaqiB12TTRHdeX.jpg,0.9711112257890196
146,Spartacus,,3,33,2010-01-22,2013-04-12,2192,7.997,163.932,/xyHrlFr8W9bGys,0.9500178070512106
147,Chicago P.D.,,10,208,2014-01-08,2023-05-24,2186,8.453,755.394,,1.0014404434102622
148,Marvel's Iron Fist,,2,23,2017-03-17,2018-09-07,2179,NaN,10.22,,0.7710241811376801
149,Fast & Furious Spy Racers,,6,52,2019-12-26,2021-12-17,2166,NaN,41.373,,0.818896517354404
NaN,9-1-1,,6,96,2018-01-03,2023-05-15,2165,8.224,239.165,,0.9649506483404432
151,Fringe,"A virus has decimated humankind. Those who survived emerged blind. Centuries later, when twins are born with the mythic ability to see, their father must protect his tribe against a threatened queen.",3,24,2019-11-01,2013-01-18,2163,8.119,197.199,Here are the corrected image paths:,0.96124583651719
152,DC's Legends of Tomorrow,"FBI Special Agent Olivia Dunham, brilliant but formerly institutionalized scientist Walter Bishop, and his scheming, reluctant son Peter uncover a deadly mystery involving a series of unbelievable events and realize they may be part of a larger, more disturbing pattern that blurs the line between science fiction and technology.",5,100,2008-09-09,2022-03-02,2154,7.332,190.366,/wNKwOtq27yfN13SKKV07NwkpBA3.jpg,0.9477904759173305
153,Young Sheldon,"When heroes alone are not enough... the world needs legends. Having seen the future, one he will desperately try to prevent from happening, time-traveling rogue Rip Hunter is tasked with assembling a disparate group of both heroes and villains to confront an unstoppable threat—one in which not only is the planet at stake, but all of time itself. Can this ragtag team defeat an immortal threat unlike anything they have ever known?",7,110,2016-01-21,2023-05-18,2130,8.057,173.189,/2yZXtM2Kky1Sy0kachbDlwybl3y.jpg,0.8463814952258492
154,The Pacific,"The early life of child genius Sheldon Cooper, later seen in The Big Bang Theory.",6,127,2017-09-25,2010-05-16,2124,7.738,297.324,/isPWZirQUCHpQ8aJZHa5s3EVXv1.jpg,0.9274531401190506
155,Hannibal,"Track the intertwined real-life stories of three U.S. Marines – Robert Leckie, John Basilone, and Eugene Sledge – across the vast canvas of the Pacific Theater during World War II. A companion piece to the 2001 miniseries Band of Brothers.",1,10,2010-03-14,2015-08-27,2123,8.23,57.386,/fXRgyxFxT3SG45fDqUODDRNE9IJ.jpg,0.8903132145250693
156,Mindhunter,"Both a gift and a curse, Graham has the extraordinary ability to think like his prey—he sees what they see, feels what they feel. But while Graham is pursuing an especially troubling, cannibalistic murderer, Special Agent Jack Crawford teams him with a highly respected psychiatrist—a man with a taste for the criminal-minded—Dr. Hannibal Lecter.",3,39,2013-04-04,2019-08-16,2121,8.069,41.747,/nWfpVLgioDXQsAbfL6UJxYz6d3d.jpg,0.9460293354110628
157,BoJack Horseman,An agent in the FBI's Elite Serial Crime Unit develops profiling techniques as he pursues notorious serial killers and rapists.,2,19,NaN,2020-01-31,2099,8.558,39.398,/mCwQJqyuCFlbFyJR5sWg3PqtHEN.jpg,0.917901868596308
158,Tokyo Ghoul,"""Meet the most beloved sitcom horse of the 90s - 20 years later. BoJack Horseman was the star of the hit TV show ""Horsin' Around,"" but today he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.""",6,76,2014-08-22,2018-12-25,2083,8.374,78.876,/a906PH7CDmSOdS7kmnAgdWk5mhv.jpg,0.9661079413725344
159,Charmed,"""Ken Kaneki is a bookworm college student who meets a girl named Rize at a cafe he frequents. They're the same age and have the same interests, so they quickly become close. Little does Kaneki know that Rize is a ghoul – a kind of monster that lives by hunting and devouring human flesh. When part of her special organ – ""the red child"" – is transplanted into Kaneki, he becomes a ghoul himself, trapped in a warped world where humans are not the top of the food chain.""",4,48,2014-07-04,2006-05-21,2072,8.189,NaN,/AmIHaw6CQWOfBCQYom15Jzsu7OB.jpg,0.9403441076480008
160,Marvel's Jessica Jones,"Three sisters (Prue, Piper, and Phoebe) reunite and unlock their powers to become the Charmed Ones, the most powerful good witches of all time, whose prophesied destiny is to protect innocent lives from evil beings such as demons and warlocks. Each sister possesses unique magical powers that grow and evolve, while they attempt to maintain normal lives in modern-day San Francisco.",NaN,178,1998-10-07,2019-06-14,2068,7.529,130.029,/yOarY3Yo0NMkuTuft87M5oAZa3C.jpg,0.917794615486328
161,The Expanse,"After a tragic ending to her short-lived superhero stint, Jessica Jones is rebuilding her personal life and career as a detective who gets pulled into cases involving people with extraordinary abilities in New York City.",3,39,2015-11-20,2022-01-13,2059,8.054,28.684,/ueZFcwAUvkjyAB9beaiqJyg0M8H.jpg,0.840151764180338
162,The Fresh Prince of Bel-Air,A thriller set two hundred years in the future following the case of a missing young woman who brings a hardened detective and a rogue ship's captain together in a race across the solar system to expose the greatest conspiracy in human history.,6,62,2015-12-14,1996-05-20,2058,7.955,106.253,/fjEOQhzZk2Or7VYUBeMx5ZIwU95.jpg,0.898299371058875
163,Superman & Lois,"Will, a street-smart teenager, moves from the tough streets of West Philly to posh Bel-Air to live with his Uncle Philip, Aunt Vivian, his cousins—spoiled Hilary, preppy Carlton, and young Ashley—and their sophisticated British butler, Geoffrey. Though Will’s antics and upbringing contrast greatly with the upper-class lifestyle of his extended relatives, he soon finds himself right at home as a loved part of the family.",6,148,1990-09-10,2023-06-27,NaN,8.1,130.923,/fYX29Hf2effFV4bOhhiKMkKNRUG.jpg,NaN
164,NCIS,"After years of facing megalomaniacal supervillains, monsters wreaking havoc on Metropolis, and alien invaders intent on wiping out the human race, The Man of Steel aka Clark Kent and Lois Lane come face to face with one of their greatest challenges ever: dealing with all the stress, pressures, and complexities that come with being working parents in today's society.",3,43,2021-02-23,2023-05-22,2047,7.631,157.443,/uxUT6MjhMkpaijKKJHh24W5VWDw.jpg,0.8986011322091365
165,Bridgerton,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.",NaN,NaN,2003-09-23,2022-03-25,2047,8.143,754.614,/qO8uNvhYrBRKKWZLUdHrvwuuQpG.jpg,0.8465710172701136
166,Heroes,"Wealth, lust, and betrayal set in the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",NaN,24,2020-12-25,2010-02-08,2045,7.487,71.308,/qmcoEOrTm6BcgR4iO7KBQKE9AKT.jpg,0.9024888542123706
167,Chicago Fire,Common people discover that they have superpowers. Their lives intertwine as a devastating event must be prevented.,4,78,2006-09-25,2023-05-24,2018,8.4,64.842,/aXa6J5vGZQQOLZZv8fK0w0cd2fm.jpg,0.8188287728433001
168,Homeland,"An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions. For the firefighters, rescue squad, and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating. These courageous men and women are among the elite who",11,NaN,2012-10-10,2020-04-26,2008,7.544,257.093,/4DgAubucJP6y2yX2Yx4CLEgdIPA.jpg,0.914128174154164
169,The Kardashians,,8,96,2011-10-02,2023-09-28,1969,8.63,90.782,/a1axm2xRYGB35X406AMI51IrhYp.jpg,0.8050289449533792
170,Ozark,,4,40,2022-04-14,2022-04-29,1968,8.244,86.223,/391ixi0wVbFtFLQnOy8ZncWv2io.jpg,0.9204495499742966
171,Locked Up: The Oasis,,4,44,2017-07-21,2020-06-08,1968,7.86,68.006,/hEUigxkQ6JTsKDUab8TL8trGOAc.jpg,0.8792799640774162
172,The Haunting of Hill House,,1,8,2020-04-20,2018-10-12,1966,8.1,20.921,/gD830J0sf5gEeZvzkRVPdGxJmSR.jpg,0.8374717371254565
173,Once Upon a Time,,1,10,2018-10-12,2018-05-18,1953,7.315,47.223,/7wm4CH6LbsFul4wWmmfXGcStVsk.jpg,0.8573365956054926
174,Halo,,7,156,2011-10-23,2022-05-19,1948,8.3,625.792,/6YANELLOCepacNcfJ9lj43NvvrZ.jpg,0.7722668322537624
175,Pasión de Gavilanes,,1,9,2022-03-24,2022-05-31,1926,7.641,91.325,/4043WFrLsGnZa3RL4Po9buc1EtF.jpg,0.8663601644845402
176,The Wire,,2,NaN,2003-10-21,2008-03-09,1925,8.535,283.197,/1qpUk27LVI9UoTS7S0EixUBj5aR.jpg,0.7971591463918455
177,El juego de las llaves,,5,60,2002-06-02,2021-09-30,1889,7.483,77.897,/qabMMIpNUUKYFqQxHEWErEEBD8G.jpg,0.8737749367138907
178,Sex and the City,,2,18,2019-08-16,2004-02-22,1878,7.4,25.334,/oggnxmvofLtGQvXsO9bAFyCj3p6.jpg,0.7616149021102112
179,American Dad!,,6,94,1998-06-06,2023-10-02,1871,8.302,91.846,/b3YoKUxr9fHNLgWEplNBYCtBy8K.jpg,0.7503598832310083
180,"Sex, Explained",,NaN,NaN,2005-02-06,2020-01-02,1861,8.587,196.512,/mXtL24G2Awyl3lKFtreMHnH5qFC.jpg,0.7011650115707084
181,Gossip Girl,,1,5,2020-01-02,2012-12-17,1856,8.402,17.276,/mc3rG5M9dFVjMfaCFNfbD5gu2pK.jpg,0.659146939221153
182,InuYasha,,6,121,2007-09-19,2010-03-30,1852,8.253,102.347,/dPDuW7NL3iTNjiTsEhb30n89au4.jpg,0.8332739620438019
183,Love Alarm,,2,193,2000-10-16,2021-03-12,1851,8.331,89.589,/zVF9VSQ5GypVD9uRlM95O1LcVr3.jpg,0.8614141106310357
184,The Legend of Korra,,2,14,2019-08-22,2014-12-18,1843,7.769,28.929,/gtFE5NhVHpa9oX1PU9szsUS8ZPX.jpg,0.839212825256437
185,Firefly,,4,52,2012-04-14,2002-12-20,1841,7.74,47.604,/mXouvrZbn8YpZMURGvw30QK8qfo.jpg,0.8234357789676316
186,She-Hulk: Attorney at Law,,1,11,2002-09-20,2021-06-11,1830,8.236,43.565,/hmrNfrUl3FFaymDj6Iw5oKQjIs2.jpg,0.8262516202183743
187,The Wheel of Time,,2,17,2021-01-08,2022-10-13,1824,8.655,124.785,/leEGz2TzhnfzEoPJJlf0ZWbozBR.jpg,0.767987330193912
188,The Crown,,1,9,2022-08-18,2023-09-28,1816,7.678,45.06,/aY7zv2pfk9H0QxaaL3PBjvalbKQ.jpg,0.6277178217176265
189,Regular Show,,2,NaN,2021-11-18,2022-11-09,1809,8.295,489.993,/eljErfkQUcFUgQkI4I1soZcH8MW.jpg,0.7588284890750919
190,Dragon Ball GT,,6,55,2016-11-04,2017-01-16,1794,7.839,52.673,/oahCTL082gwu6fYrxEOBe546uvB.jpg,NaN
191,Twin Peaks,,8,NaN,2010-09-06,1997-11-19,1783,8.2,190.447,/63u7DCLSWo8TNBZUhu7fEXj6kX1.jpg,0.8363393198778425
192,La Reina del Sur,,1,64,1996-02-07,2017-09-03,1783,8.474,18.346,/5iWJwQPBusPTV7G7n5TABNRP7tO.jpg,0.7419310569638448
195,Yellowstone,,3,48,1990-04-08,2023-01-16,1775,8.699,197.043,/aJOlYXjxb5IvnTsO4I1tmFpC7GH.jpg,NaN
196,Star Wars: The Clone Wars,,3,183,2011-02-28,2023-01-01,1769,8.031,107.222,/j5w04XEuFv85N3RIovXBJIHxjSb.jpg,0.7515408597441814
197,Fullmetal Alchemist: Brotherhood,,5,47,2018-06-20,2020-05-04,1768,8.371,442.49,/mWGLIaVFXyalsSbstiwletjKFUC.jpg,0.78570625934461
198,Jurassic World Camp Cretaceous,,7,133,2008-10-03,2010-07-04,1767,8.064,629.948,/xHkOKPUe3ioXyPIe5odyL6o6cp4.jpg,NaN
199,Drake & Josh,,1,64,2009-04-05,2022-07-21,1749,,318.286,/m6eR,0.8245618553290059
200,The Sandman,,5,49,2020-09-18,2007-09-16,1745,,38.434,,NaN
,,,4,57,2004-01-11,2022-08-19,1736,,77.958,,0.7875736232442886
,,,1,11,2022-08-05,,1726,,64.168,,0.754319631198448
