id,name,overview,genres,number_of_seasons,number_of_episodes,first_air_date,last_air_date,networks,vote_count,vote_average,languages,popularity,backdrop_path,watchlisted_rating
65,Family Guy,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.","['Animation', 'Comedy']",22,411,1999-01-31,2023-10-01,['FOX'],3884,7.288,['en'],1073.325,/wU1y7snEVYiJBpZ2k1DjIpHgJbx.jpg,1.5340929888474
66,13 Reasons Why,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.","['Drama', 'Mystery']",4,49,2017-03-31,2020-06-05,['Netflix'],3827,7.647,['en'],131.916,/c4CSgKL6QfkJxsWcGYDyTxpbzpW.jpg,1.5860382334629115
67,South Park,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","['Animation', 'Comedy']",26,321,1997-08-13,2023-03-29,['Comedy Central'],3813,8.359,['en'],191.901,/41neXsH222hV2zrsTyw8h7javon.jpg,1.7273694339172183
68,The Queen's Gambit,"In a Kentucky orphanage in the 1950s, a young girl discovers an astonishing talent for chess while struggling with addiction.",['Drama'],1,7,2020-10-23,2020-10-23,['Netflix'],3810,8.524,"['en', 'fr', 'ru', 'es']",49.644,/34OGjFEbHj0E3lE2w0iTUVq0CBz.jpg,1.7600804401576584
69,Teen Wolf,"Scott McCall, a high school student living in the town of Beacon Hills has his life drastically changed when he's bitten by a werewolf, becoming one himself. He must henceforth learn to balance his problematic new identity with his day-to-day teenage life. The following characters are instrumental to his struggle: Stiles, his best friend; Allison, his love interest who comes from a family of werewolf hunters; and Derek, a mysterious werewolf with a dark past. Throughout the series, he strives to keep his loved ones safe while maintaining normal relationships with them.","['Sci-Fi', 'Drama']",6,100,2011-06-05,2017-09-24,['MTV'],3803,8.569,['en'],162.181,/1F2RnXLc0fmRt7iWfBK4mNVsjno.jpg,1.7661214620930388
70,Smallville,The origins of the world’s greatest hero–from Krypton refugee Kal-el’s arrival on Earth through his tumultuous teen years to Clark Kent’s final steps toward embracing his destiny as the Man of Steel.,"['Sci-Fi', 'Action', 'Drama']",10,216,2001-10-16,2011-05-13,"['The WB', 'The CW']",3730,8.232,['en'],243.557,/9g3x5BSoBWKhzKRNuvm4xm0sExU.jpg,1.664095681176858
71,Chucky,"After a vintage Chucky doll turns up at a suburban yard sale, an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town’s hypocrisies and secrets. Meanwhile, the arrival of enemies — and allies — from Chucky’s past threatens to expose the truth behind the killings, as well as the demon doll’s untold origins.","['Crime', 'Sci-Fi', 'Drama']",3,24,,2022-11-23,"['USA Network', 'Syfy']",3724,7.9,['en'],180.715,/n04w4FxcGE6Sfe0M7zzWohKM3by.jpg,1.5944131350992363
72,Invincible,"Mark Grayson is a normal teenager except for the fact that his father is the most powerful superhero on the planet. Shortly after his seventeenth birthday, Mark begins to develop powers of his own and enters into his father’s tutelage.","['Animation', 'Sci-Fi', 'Action', 'Drama']",2,12,2021-03-25,2021-04-29,['Prime Video'],3717,8.677,['en'],74.551,/6UH52Fmau8RPsMAbQbjwN3wJSCj.jpg,1.7479389437039536
73,Scorpion,"Based on a true story, Scorpion is a high-octane drama about eccentric genius Walter O’Brien and his team of brilliant misfits who comprise the last line of defense against complex, high-tech threats of the modern age. As Homeland Security’s new think tank, O’Brien’s “Scorpion” team includes Toby Curtis, an expert behaviorist who can read anyone; Happy Quinn, a mechanical prodigy; and Sylvester Dodd, a statistics guru.","['Action', 'Drama', 'Crime']",4,93,2014-09-22,2018-04-16,['CBS'],3688,8.246,['en'],144.243,/fThSrHjuS1X82XoH9VrtvgvMIXm.jpg,1.648156102257012
74,What If...?,"Taking inspiration from the comic books of the same name, each episode explores a pivotal moment from the Marvel Cinematic Universe and turns it on its head, leading the audience into uncharted territory.","['Animation', 'Action', 'Sci-Fi']",1,9,2021-08-11,2021-10-06,['Disney+'],3676,8.208,['en'],53.046,/4N6zEMfZ57zNEQcM8gWeERFupMv.jpg,1.6352228621531328
75,Dexter,"Dexter Morgan, a blood spatter pattern analyst for the Miami Metro Police also leads a secret life as a serial killer, hunting down criminals who have slipped through the cracks of justice.","['Crime', 'Drama', 'Mystery']",8,96,2006-10-01,2013-09-22,['Showtime'],3675,8.19,['en'],227.846,/aSGSxGMTP893DPMCvMl9AdnEICE.jpg,1.631192985067798
76,Lost,"Stripped of everything, the survivors of a horrific plane crash  must work together to stay alive. But the island holds many secrets.","['Mystery', 'Action']",6,118,2004-09-22,2010-05-23,['ABC'],3659,7.961,['en'],145.625,/o1iJ1aJJnCPPjrJsfXFwgw3yA3H.jpg,1.5786800956448444
77,Death Note,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?","['Animation', 'Mystery', 'Sci-Fi']",1,37,2006-10-04,2007-06-27,['Nippon TV'],3605,8.64,['ja'],110.221,/2Yfzm5857lprGonYPl30XgEpTry.jpg,1.6880414690057968
78,Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","['Animation', 'Action', 'Sci-Fi']",3,61,2005-02-21,2008-07-19,['Nickelodeon'],3497,8.69,['en'],88.002,/kU98MbVVgi72wzceyrEbClZmMFe.jpg,1.6469465646579573
79,The Office,"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.",['Comedy'],9,186,2005-03-24,2013-05-16,['NBC'],3443,8.587,['en'],179.677,/bX6Sypdpk0r8YFdVPoc3yeyvSmm.jpg,1.602295398650813
80,Criminal Minds,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.","['Crime', 'Drama', 'Mystery']",16,334,2005-09-22,,"['CBS', 'Pacamount+']",3413,8.324,['en'],275.182,/65Y6PweSvQ1OOFBzStybjipURRP.jpg,1.5396870595963206
81,House of the Dragon,"The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.","['Sci-Fi', 'Drama', 'Action']",1,10,2022-08-21,2022-10-23,['HBO'],3413,8.448,['en'],182.641,/vXpeJJs1z8OKC88CNJX9O9QOhtr.jpg,1.562623291622984
82,Law & Order: Special Victims Unit,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.","['Crime', 'Drama', 'Mystery']",24,538,1999-09-20,2023-05-18,['NBC'],3389,7.962,['en'],953.554,/9xxLWtnFxkpJ2h1uthpvCRK6vta.jpg,1.462371929137247
83,The Mentalist,"Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at ""reading"" people to solve serious crimes with the California Bureau of Investigation.","['Crime', 'Drama', 'Mystery']",7,151,2008-09-23,2015-02-18,['CBS'],3378,8.39,['en'],232.385,/dwMZ8BW1tUp69baogSrcTAumKuR.jpg,1.5359805135135831
84,Under the Dome,"A small town is suddenly and inexplicably sealed off from the rest of the world by an enormous transparent dome. While military forces, the government and the media positioned outside of this surrounding barrier attempt to break it down, a small group of people inside attempt to figure out what the dome is, where it came from, and when (and if) it will go away.","['Drama', 'Mystery', 'Sci-Fi']",3,39,2013-06-24,2015-09-10,['CBS'],3355,7.214,['en'],108.565,/qiDOjpLj2KGDwM5MGx9YZpOrBRX.jpg,1.3116946959310385
85,Pablo Escobar: The Drug Lord,"Pablo is a man with a natural ability for business. Early in his life, Pablo is introduced to the business of cocaine and the power it yields. A young life of crime lands Pablo in and out of jail as he builds is criminal empire. Pablo expands his power through politics but it is not long before his conflicts as a Congressman and a drug lord collide. Pablo has his enemies executed, but not before the United States activates its own war on the Medellin cartel.","['Crime', 'Drama']",1,113,2012-05-28,2012-11-19,['Caracol TV'],3350,7.603,['es'],359.573,/r1tMESor8QuPVKP2VxcVEX6t6ad.jpg,1.3803648680347222
86,Arcane,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.","['Animation', 'Drama', 'Sci-Fi', 'Action']",2,9,2021-11-06,2021-11-20,['Netflix'],3341,8.74,['en'],42.447,/rkB4LyZHo1NHXFEDHl9vSD9r1lI.jpg,1.5825302058955133
87,All of Us Are Dead,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,"['Action', 'Drama', 'Sci-Fi']",2,12,2022-01-28,2022-01-28,['Netflix'],3335,8.354,"['en', 'ko']",107.108,/jZAtLKNZbQZZLm9OLcY9rdZZV5F.jpg,1.509921638894289
88,Chilling Adventures of Sabrina,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.","['Mystery', 'Sci-Fi', 'Drama']",2,36,2018-10-26,2020-12-31,['Netflix'],3320,8.242,['en'],123.963,/8AqPuvo0r89khk01yEFT321jiDn.jpg,1.482978291938023
89,Marvel's Agents of S.H.I.E.L.D.,"Agent Phil Coulson of S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement and Logistics Division) puts together a team of agents to investigate the new, the strange and the unknown around the globe, protecting the ordinary from the extraordinary.","['Drama', 'Sci-Fi', 'Action']",7,136,2013-09-24,2020-08-12,['ABC'],3221,7.492,['en'],289.802,/80BRASQnT9KT7BkFeEI0EdeRIF3.jpg,1.3078339091454192
90,One-Punch Man,"Saitama is a hero who only became a hero for fun. After three years of “special” training, though, he’s become so strong that he’s practically invincible. In fact, he’s too strong — even his mightiest opponents are taken out with a single punch, and it turns out that being devastatingly powerful is actually kind of a bore. With his passion for being a hero lost along with his hair, yet still faced with new enemies every day, how much longer can he keep it going?","['Action', 'Animation', 'Comedy']",3,24,2015-10-05,2019-07-03,"['TV Tokyo', 'TV Aichi', 'TV Osaka']",3207,8.381,['ja'],69.453,/xWDYXgbRfquh4s21dGnG0BWKySy.jpg,1.4566623675457966
91,The Purge,"Set in a dystopian America ruled by a totalitarian political party, the series follows several seemingly unrelated characters living in a small city. Tying them all together is a mysterious savior who’s impeccably equipped for everything the night throws at them. As the clock winds down with their fates hanging in the balance, each character is forced to reckon with their pasts as they discover how far they will go to survive the night.","['Mystery', 'Crime', 'Drama']",2,20,2018-09-04,2019-12-17,['USA Network'],3204,6.929,['en'],35.783,/rFGtqUOIXP9CudLaSzK9iFZB7lK.jpg,1.2031704821405036
92,Siren,"The coastal town of Bristol Cove is known for its legend of once being home to mermaids. When the arrival of a mysterious girl proves this folklore all too true, the battle between man and sea takes a very vicious turn as these predatory beings return to reclaim their right to the ocean.","['Sci-Fi', 'Drama']",3,36,2018-03-29,2020-05-28,['Freeform'],3171,7.75,['en'],49.087,/uZNhVUocfi44FuyR3FmHOFLwio4.jpg,1.3318706372060638
93,Gotham,"Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?","['Drama', 'Crime', 'Sci-Fi']",5,100,2014-09-22,2019-04-25,['FOX'],3157,7.6,['en'],100.464,/7QSM3AsgWXctWBm7OFov9dGdZgt.jpg,1.300326083055616
94,"Yo soy Betty, la fea","Yo soy Betty, la fea is a telenovela filmed in Colombia, written by Fernando Gaitán and produced from October 25, 1999 to May 8, 2001 by the Colombian network RCN. More than a dozen versions of the telenovela have been made in other countries. In the United States, both the comedy-drama hit Ugly Betty and Televisa program La Fea Más Bella are based on the Colombian soap opera.    Betty, la Fea re-aired on Spanish-language U.S. network TeleFutura in January 2009. Eight years after the telenovela's original run, the highly anticipated return of the original version of Yo Soy Betty, La Fea delivered impressive ratings for the network, attracting over one million viewers, more than half a million of which were adults aged 18–49. In addition, the premiere episode doubled and in some cases nearly tripled its prior audience among all key demographics.    Due to the success of re-runs aired in the United States, in June 2009, Yo soy Betty, la fea re-aired in México on Canal de las Estrellas.    Betty, la Fea is arguably the most successful telenovela of all time and one of the most popular television shows in the world. It is the first telenovela to have been remade worldwide and has been regarded as bringing the telenovela to new levels of success.","['Soap', 'Comedy', 'Drama']",1,335,1999-10-25,2001-01-30,['RCN'],3133,8.335,"['it', 'es']",123.868,/ftiQHOrAGTGXVsJ1pcAVC5Dau78.jpg,1.4152400133290852
95,The Originals,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah, and Rebekah. Now Klaus must take down his protégé, Marcel, who is now in charge of New Orleans, in order to re-take his city, as he originally built New Orleans. Klaus departed from the city after being chased down by his father Mikael, while it was being constructed and Marcel took charge. As Klaus has returned after many years, his ego has provoked him to become the king of the city. ""Every King needs an heir"" says Klaus, accepting the unborn child. The child is a first to be born to a hybrid and a werewolf.","['Sci-Fi', 'Drama', 'Mystery']",5,92,2013-10-03,2018-08-01,['The CW'],3125,8.6,['en'],99.452,/b1Mh03Aeu4IlGvdNm10cbQQxt95.jpg,1.4565069887351283
96,Band of Brothers,"Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.","['Drama', 'War & Politics']",1,10,2001-09-09,2001-11-04,['HBO'],3107,8.488,"['de', 'fr', 'lt', 'nl', 'en']",70.527,/lngME02RNCzjUIkzS9eJ4b7sjeQ.jpg,1.429258303718414
97,Love Is In The Air,"Eda, who ties all her hopes to her education, confronts Serkan Bolat, who cuts off her international education scholarship and leaves her with high school diploma. Serkan Bolat offers Eda to give her scholarship back if she pretends to be his fiance for two months. Although Eda rejects the offer of this man as she hates him, she has to accept it when the conditions change. While pretending to be engaged, Serkan and Eda begin to experience a passionate, challenging relationship that will make them forget all they know right. Because love is difficult. And that's why it's amazing.","['Drama', 'Comedy']",2,52,2020-07-08,2021-09-08,['FOX'],2920,8.2,['tr'],261.128,/ic7YfRS52N3m4oalxoOIT665C33.jpg,1.297659659098564
98,Bones,"Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless.","['Crime', 'Drama']",12,246,2005-09-13,2017-03-28,['FOX'],2891,8.264,['en'],304.742,/e9n87p3Ax67spq3eUgLB6rjIEow.jpg,1.294799431644146
99,Hawkese,"Former Avenger Clint Barton has a seemingly simple mission: get back to his family for Christmas. Possible? Maybe with the help of Kate Bishop, a 22-year-old archer with dreams of becoming a superhero. The two are forced to work together when a presence from Barton’s past threatens to derail far more than the festive spirit.","['Drama', 'Comedy', 'Action']",9999,6,2021-11-24,2021-12-22,['Disney+'],2887,-5.0,['en'],61.881,/1R68vl3d5s86JsS2NPjl8UoMqIS.jpg,1.24544327385181
100,Super Dragon Ball Heroes,"Trunks returns from the future to train with Goku and Vegeta. However, it disappears without warning. Then the mysterious Fu bursts in, telling them that Trunks has been imprisoned in the Prison Planet, a mysterious complex in an unknown place in the universes. The group seeks the dragon balls to free Trunks, but an endless battle awaits them! Will Goku and the others rescue Trunks and escape the Prison Planet?","['Animation', 'Action', 'Sci-Fi']",6,49,2018-07-01,2023-08-24,['Fuji TV'],2882,7.564,['ja'],122.817,/xlKKD1TXJvh0YYlVPqqQ3g3ZUjM.jpg,1.1814343576769497
101,Brooklyn Nine-Nine,"A single-camera ensemble comedy following the lives of an eclectic group of detectives in a New York precinct, including one slacker who is forced to shape up when he gets a new boss.","['Comedy', 'Crime']",8,152,2013-09-17,2021-09-16,"['NBC', 'FOX']",2875,8.236,['en'],,/9AeiA1XtP5sel2tAf9LaGeUjhDb.jpg,1.2832707249400834
102,Grimm,"After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms,"" he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.","['Drama', 'Mystery', 'Sci-Fi']",6,122,2011-10-28,2017-03-31,['NBC'],2869,8.283,['en'],167.114,/oS3nip9GGsx5A7vWp8A1cazqJlF.jpg,1.2879004932201457
103,Futurama,"The adventures of a late-20th-century New York City pizza delivery boy, Philip J. Fry, who, after being unwittingly cryogenically frozen for one thousand years, finds employment at Planet Express, an interplanetary delivery company in the retro-futuristic 31st century.","['Animation', 'Comedy', 'Sci-Fi']",8,134,1999-03-28,2023-09-25,"['FOX', 'Comedy Central', 'Hulu']",2867,8.396,['en'],185.307,/pMCvRynXABgLBMKHYa2UXjTBMsU.jpg,1.304560494368876
104,Two and a Half Men,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,"['Comedy', 'Drama']",12,262,,2015-02-18,['CBS'],2843,7.452,['en'],489.162,/2pOmuq4nkWZzwZbOfZq7CyyQAsM.jpg,1.148190120840708
105,The Blacklist,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.","['Drama', 'Crime', 'Mystery']",10,218,2013-09-23,2023-07-13,['NBC'],2834,7.619,['en'],416.841,/2eIlCirgcvEwmCSYh2wDfz5Sxvz.jpg,1.1702049191251394
106,"Love, Death & Robots","Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.","['Animation', 'Sci-Fi']",3,35,2019-03-15,2022-05-20,['Netflix'],2804,-5.0,['en'],113.607,/hkkR14vBgGV4TM0e7BGlMcAQETS.jpg,1.2558345231166328
107,It,"In 1960, seven outcast kids known as ""The Losers' Club"" fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown.","['Mystery', 'Drama']",1,2,1990-11-18,1990-11-20,['ABC'],2794,6.905,['en'],61.231,/1YXUpm1Nkx9frbYKFw6YVfv6btV.jpg,1.045572578071132
108,Jujutsu Kaisen,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.","['Animation', 'Action', 'Sci-Fi']",1,47,2020-10-03,2023-09-29,"['MBS', 'TBS', 'CBC', 'Tulip Television', 'SBC', 'BSN', 'tys', 'HBC', 'RKK Kumamoto Broadcasting', 'Nagasaki Culture Telecasting Corporation', 'i-Television', 'SBS TV', 'IBC Iwate Broadcasting', 'Broadcasting System of San-in', 'Hokuriku Broadcasting', 'Oita Broadcasting System', 'TV-U Fukushima', 'RSK', 'TV-U Yamagata', 'Tohoku Broadcasting', 'RKB', 'TV Kochi Broadcasting', 'Ryukyu Broadcasting', 'TV Yamanashi', 'RCC', 'MRT Miyazaki Broadcasting', 'ATV', 'MBC South Japan Broadcasting']",2788,8.563,['ja'],614.553,/lthkKBLe1rX6iThgVFg22O02sJw.jpg,1.29384667283998
109,Dragon Ball,"Long ago in the mountains, a fighting master known as Gohan discovered a strange boy whom he named Goku. Gohan raised him and trained Goku in martial arts until he died. The young and very strong boy was on his own, but easily managed. Then one day, Goku met a teenage girl named Bulma, whose search for the mystical Dragon Balls brought her to Goku's home. Together, they set off to find all seven and to grant her wish.","['Animation', 'Action', 'Sci-Fi']",1,153,1986-02-26,1989-04-19,['Fuji TV'],2788,8.2,['ja'],7.884,/nokCMxb0u5YtLsu7RGs4oUiA8DK.jpg,1.2389983320434237
110,You,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",['Drama'],5,40,2018-09-09,2023-03-09,"['Lifetime', 'Netflix']",2788,8.078,['en'],71.284,/2ZNFu0hkSVtAI6LRWGIlCPNd1Tj.jpg,1.2205644544203385
111,True Detective,"An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law.",['Drama'],4,30,2014-01-12,2019-02-24,['HBO'],2787,8.305,['en'],76.26,/scx72FpTF929jYXea0MphyE24Wa.jpg,
112,The End of the F***ing World,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a darkly comedic road trip in search of her real father.","['Comedy', 'Drama', 'Crime']",2,16,2017-10-24,2019-11-07,['Channel 4'],2786,8.094,['en'],31.754,/nfWhNM5VVd9a5bEGobs83TWTuLM.jpg,1.222104693624798
113,El Señor de los Cielos,"Set in the 1990s, these are the life and times of Amado Carrillo Fuentes, a man who became the head of the Juárez cartel. Nicknamed “El Señor de los Cielos” (Lord of the Skies) because of the large fleet of airplanes he used to transport drugs, he was also known for washing more than $200 million through Colombia to finance his huge fleet. He is described as the most powerful drug trafficker of his time.","['Crime', 'Drama', 'Soap']",8,699,2013-04-15,2023-05-22,['Telemundo'],2777,7.909,['es'],14.76,/iN9uULLaSx7h21tcR9io2dnARjw.jpg,1.190314037214412
114,Legacies,"In a place where young witches, vampires, and werewolves are nurtured to be their best selves in spite of their worst impulses, Klaus Mikaelson’s daughter, 17-year-old Hope Mikaelson, Alaric Saltzman’s twins, Lizzie and Josie Saltzman, among others, come of age into heroes and villains at The Salvatore School for the Young and Gifted.","['Sci-Fi', 'Drama']",4,68,2018-10-25,2022-06-16,['The CW'],2769,8.496,['en'],148.914,/fRYwdeNjMqC30EhofPx5PlDpdun.jpg,1.2749746779146838
115,SpongeBob SquarePants,"Deep down in the Pacific Ocean in the subterranean city of Bikini Bottom lives a square yellow sponge named SpongeBob SquarePants. SpongeBob lives in a pineapple with his pet snail, Gary, loves his job as a fry cook at the Krusty Krab, and has a knack for getting into all kinds of trouble without really trying. When he's not getting on the nerves of his cranky next door neighbor Squidward, SpongeBob can usually be found smack in the middle of all sorts of strange situations with his best buddy, the simple yet lovable starfish, Patrick, or his thrill-seeking surfer-girl squirrel pal, Sandy Cheeks.","['Animation', 'Comedy', 'Family', 'Sci-Fi']",14,578,1999-05-01,2023-08-09,['Nickelodeon'],2747,7.617,['en'],47.867,/aasp5EmwclAQbwfGABWLTNLhjwB.jpg,1.133983446514901
116,The X-Files,"The exploits of FBI Special Agents Fox Mulder and Dana Scully who investigate X-Files: marginalized, unsolved cases involving paranormal phenomena. Mulder believes in the existence of aliens and the paranormal while Scully, a skeptic, is assigned to make scientific analyses of Mulder's discoveries that debunk Mulder's work and thus return him to mainstream cases.","['Sci-Fi', 'Mystery', 'Crime']",11,218,1993-09-10,2018-03-21,['FOX'],2726,8.397,['en'],643.863,/1vpmGGDaW4aUGKCfQTV0ygAPtBu.jpg,1.240549518760878
117,Sin senos sí hay paraíso,A young woman born in a mafia-controlled town seeks revenge on those who wrongfully harmed and imprisoned her family.,"['Action', 'Crime', 'Drama', 'Mystery']",4,340,2016-07-19,2020-12-03,['Telemundo'],2676,7.541,['es'],113.424,/oAkpvVvoyZWMo9cpNk3aQoVKsjM.jpg,1.0936519957093989
118,Doctor Who,"The Doctor is a Time Lord: a 900 year old alien with 2 hearts, part of a gifted civilization who mastered time travel. The Doctor saves planets for a living—more of a hobby actually, and the Doctor's very, very good at it.","['Action', 'Drama', 'Sci-Fi']",13,153,2005-03-26,2021-12-05,['BBC One'],9999,7.4,['en'],173.153,/sRfl6vyzGWutgG0cmXmbChC4iN6.jpg,1.0583643676358263
119,iZombie,"A medical student who becomes a zombie joins a Coroner's Office in order to gain access to the brains she must reluctantly eat so that she can maintain her humanity. But every brain she eats, she also inherits their memories and must now solve their deaths with help from the Medical examiner and a police detective.","['Drama', 'Crime', 'Sci-Fi']",5,71,2015-03-17,2019-08-01,['The CW'],2628,7.797,['en'],65.145,/tCjXy1iCsr2BVlNczafnkZ40LPn.jpg,1.1104959909502872
120,Sons of Anarchy,"An adrenalized drama with darkly comedic undertones that explores a notorious outlaw motorcycle club’s (MC) desire to protect its livelihood while ensuring that their simple, sheltered town of Charming, California remains exactly that, charming. The MC must confront threats from drug dealers, corporate developers, and overzealous law officers. Behind the MC’s familial lifestyle and legally thriving automotive shop is a ruthless and illegal arms business driven by the seduction of money, power, and blood.","['Crime', 'Drama']",7,92,2008-09-03,2014-12-09,['FX'],2569,8.445,['en'],376.377,/sAX6JOWZWJGhkvFRctSZIL556mp.jpg,1.1757848448201416
121,Goblin,"In his quest for a bride to break his immortal curse, a 939-year-old guardian of souls meets a grim reaper and a sprightly student with a tragic past.","['Drama', 'Sci-Fi', 'Comedy']",1,16,2016-12-02,2017-01-21,['tvN'],2545,8.66,['ko'],52.348,/uoA7xBzCt3XXqL5fMmB8pmYgABJ.jpg,1.1944549611023485
122,Gravity Falls,"Twin brother and sister Dipper and Mabel Pines are in for an unexpected adventure when they spend the summer helping their great uncle Stan run a tourist trap in the mysterious town of Gravity Falls, Oregon.","['Animation', 'Comedy', 'Mystery', 'Sci-Fi', 'Kids']",2,40,2012-06-15,2016-02-15,"['Disney Channel', 'Disney XD']",2512,8.531,['en'],300.167,/lhg7eA6CTOCL10QNVdKiyxkgPsL.jpg,
123,Narcos,A gritty chronicle of the war against Colombia's infamously violent and powerful drug cartels.,"['Crime', 'Drama']",3,30,2015-08-28,2017-09-01,['Netflix'],2493,8.006,"['es', 'en']",76.746,/go5LNIFH9IdoSwv8j9cNyTk2uPU.jpg,1.0816878814835686
124,Txtans,A team of young superheroes led by Nightwing (formerly Batman's first Robin) form to combat evil and other perils.,"['Action', 'Sci-Fi', 'Drama']",4,49,2018-10-12,2023-05-11,"['DC Universe', 'HBO Max']",2487,7.975,"['en', 'de']",92.504,/remQq0nfQoxY9fVglGGegHZjFxx.jpg,1.074906222357191
125,Adventure Time,"Hook up with Finn and Jake as they travel the Land of Ooo searching for adventure. But remember, adventure isn’t always easy. Sometimes you’ve got to battle fire gnomes that torture old ladies, save a smelly hot dog princess from the Ice King, and thaw out a bunch of frozen businessmen. What the cabbage?!","['Animation', 'Comedy', 'Sci-Fi']",10,279,2010-04-05,2018-09-03,['Cartoon Network'],2474,8.477,['en'],316.301,/pe4B3OYBb7qYCdkAz7nKWordbls.jpg,1.1365956206674608
126,The Handmaid's Tale,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship. A TV adaptation of Margaret Atwood's novel.","['Drama', 'Sci-Fi']",5,56,2017-04-26,2022-11-09,['Hulu'],2457,8.2,['en'],684.333,/sokTOq0zAmPS7wCR4qd4Kca35x7.jpg,1.0919006104127302
